antecedents,consequents,support,confidence,lift
frozenset({'bluetooth headphones'}),frozenset({'airpods'}),0.025566666666666668,0.3454954954954955,2.86322233836046
frozenset({'airpods'}),frozenset({'bluetooth headphones'}),0.025566666666666668,0.21187845303867403,2.86322233836046
frozenset({'energy drink'}),frozenset({'airpods'}),0.024466666666666668,0.3342440801457195,2.7699785647435315
frozenset({'airpods'}),frozenset({'energy drink'}),0.024466666666666668,0.20276243093922652,2.7699785647435315
frozenset({'fresh bread'}),frozenset({'cereals'}),0.02263333333333333,0.22724230254350736,2.251409866679399
frozenset({'cereals'}),frozenset({'fresh bread'}),0.02263333333333333,0.22424042272126815,2.251409866679399
frozenset({'eggs'}),frozenset({'cereals'}),0.022033333333333332,0.23590292648108493,2.3372152557571164
frozenset({'cereals'}),frozenset({'eggs'}),0.022033333333333332,0.21829590488771464,2.337215255757116
frozenset({'butter'}),frozenset({'cereals'}),0.021066666666666668,0.21906412478336224,2.1703843274441437
frozenset({'cereals'}),frozenset({'butter'}),0.021066666666666668,0.20871862615587847,2.1703843274441437
frozenset({'butter'}),frozenset({'fresh bread'}),0.021033333333333334,0.21871750433275566,2.1959588788429283
frozenset({'fresh bread'}),frozenset({'butter'}),0.021033333333333334,0.21117804551539493,2.1959588788429283
frozenset({'eggs'}),frozenset({'butter'}),0.020633333333333333,0.2209136331192006,2.2971954917074586
frozenset({'butter'}),frozenset({'eggs'}),0.020633333333333333,0.2145580589254766,2.2971954917074586
frozenset({'tomatoes'}),frozenset({'asparagus'}),0.02,0.26714158504007124,2.0875872756452556
frozenset({'eggs'}),frozenset({'fresh bread'}),0.02,0.21413276231263384,2.149927332456163
frozenset({'fresh bread'}),frozenset({'eggs'}),0.02,0.20080321285140565,2.1499273324561634
frozenset({'salad'}),frozenset({'asparagus'}),0.0199,0.3067831449126413,2.3973676341180616
frozenset({'spinach'}),frozenset({'asparagus'}),0.019766666666666665,0.2944389275074478,2.3009033147234788
frozenset({'avocado'}),frozenset({'asparagus'}),0.018933333333333333,0.28715874620829124,2.2440120828988634
